city_code,city,province_code,province
28474,Quzhou,330,Zhejiang
28607,Diqing Tibetan Autonomous Prefecture,530,Yunnan
28760,Xiamen,350,Fujian
29050,Dehong Dai and Jingpo Autonomous Prefecture,530,Yunnan
29140,Qianxinan Buyei and Miao Autonomous Prefecture,520,Guizhou
29636,Xi'an,610,Shaanxi
29745,Hebi,410,Henan
29810,Yuxi,530,Yunnan
30128,Guiyang,520,Guizhou
30179,Tonghua,220,Jilin
30343,Yingtan,360,Jiangxi
30831,Shizuishan,640,Ningxia
31041,Bayannur,150,Inner Mongolia
31438,Shantou,440,Guangdong
31957,Zhuhai,440,Guangdong
32030,Guyuan,640,Ningxia
32077,Dandong,210,Liaoning
32247,Nanping,350,Fujian
32542,Liuzhou,450,Guangxi
33465,Linyi,370,Shandong
33655,Hangzhou,330,Zhejiang
34714,Songyuan,220,Jilin
35014,Laiwu,370,Shandong
35583,Shiyan,420,Hubei
35817,Sanya,460,Hainan
35941,Shaoyang,430,Hunan
36093,Guangzhou,440,Guangdong
36379,Yangjiang,440,Guangdong
36764,Jingzhou,420,Hubei
37206,Anshan,210,Liaoning
37241,Lanzhou,620,Gansu
38294,Jinchang,620,Gansu
38358,Yanbian Korean Autonomous Prefecture,220,Jilin
39012,Qingdao,370,Shandong
39466,Suizhou,420,Hubei
39715,Jiangmen,440,Guangdong
39753,Cangzhou,130,Hebei
39902,Yingkou,210,Liaoning
39954,Jiaozuo,410,Henan
39975,Xuzhou,320,Jiangxu
40332,Lishui,330,Zhejiang
40732,Shenyang,210,Liaoning
41112,Xining,630,Qinghai
41327,Shuangyashan,230,Heilongjiang
41887,Fuxin,210,Liaoning
41928,Qinhuangdao,130,Hebei
41982,Wuzhong,640,Ningxia
42055,Liaocheng,370,Shandong
42337,Xianyang,610,Shaanxi
42440,Yiyang,430,Hunan
44447,Pingdingshan,410,Henan
44511,Zhanjiang,440,Guangdong
44572,Changji Hui Autonomous Prefecture,650,Xinjiang
44687,Panjin,210,Liaoning
44739,E'zhou,420,Hubei
44779,Deyang,510,Sichuan
44913,Zhaotong,530,Yunnan
44998,Nanjing,320,Jiangsu
45073,Beihai,450,Guangxi
45344,Suihua,230,Heilongjiang
45700,Yuncheng,140,Shanxi
45983,Suqian,320,Jiangsu
47088,Xiangyang,420,Hubei
47115,Hohhot,150,Inner Mogonlia
47326,Hechi,450,Guangxi
48418,Shaoxing,330,Zhejiang
48854,Meishan,410,Sichuan
49434,Yulin,450,Guangxi
49563,Shanwei,440,Guangdong
49590,Pingxiang,360,Jiangxi
49603,Fuzhou,360,Jiangxi
49697,Jinhua,330,Zhejiang
50167,Taiyuan,140,Shanxi
50602,Luzhou,510,Sichuan
50965,Xingtai,130,Hebei
51715,Ulanqab,150,Inner Mongolia
52323,Puyang,410,Henan
53199,Xiangxi Tujia and Miao Autonomous Prefecture,430,Hunan
53348,Zhoukou,410,Henan
53460,Lhasa,540,Tibet
53705,Tongren,520,Guizhou
53747,Shenzhen,440,Guangdong
54002,Hulunbuir,150,Inner Mongolia
54217,Zhoushan,330,Zhejiang
54348,Enshi,420,Hubei
54613,Beijing,110,Beijing
54801,Huangnan Tibetan Autonomous Prefecture,630,Qinghai
55439,Maoming,440,Guangdong
55521,Wuhan,420,Hubei
55714,Yinchuan,640,Ningxia
56781,Jieyang,440,Guangdong
56806,Neijiang,510,Sichuan
56990,Qiandongnan Miao and Dong Autonomous Prefecture,520,Guizhou
57095,Zaozhuang,370,Shandong
58261,Tongliao,150,Inner Mongolia
58529,Tianshan,620,Gansu
