X,date,prec,snow,temp,aqi,co,no2,o3,pm10,pm,so2,t_asign,treat,hubei,day,month,year,daynum,north,city_code,judge,week,lead_lag_dummy
17054,20200108,4.231056454,97.98245767,-7.1551,76.291664,1.1695833,34.041668,63.333332,93.708336,86.958336,18.416666,1,0,0,8,1,2020,8408,1,37206,1,-4,-4
17061,20200115,2.786914588,81.18868353,-10.171659,162.83333,2.1945834,69.083336,19.166666,163.875,123.75,28.375,1,0,0,15,1,2020,8415,1,37206,1,-3,-3
17068,20200122,2.30764512,142.0818799,-3.6672776,175.47368,1.3978947,29.421053,83.8421,105.68421,68.52631,15.368421,1,0,0,22,1,2020,8422,1,37206,1,-2,-2
17075,20200129,1.393464965,77.71729162,-5.193161,146.75,1.91875,40.083332,84.416664,178.25,143.875,26.958334,1,0,0,29,1,2020,8429,1,37206,1,-1,-1
17082,20200205,2.367620778,57.32393144,-13.370733,40.458332,0.70666665,13.666667,56.75,37.708332,17.958334,13.541667,1,1,0,5,2,2020,8436,1,37206,1,0,0
17089,20200212,1.763496096,83.27228462,4.3209896,48.208332,0.8525,17,102.583336,64.375,48,13.416667,1,1,0,12,2,2020,8443,1,37206,1,1,1
17096,20200219,1.171558672,54.87057122,-3.2695854,70,1.3133333,33.875,51.75,56.416668,41.333332,21.791666,1,1,0,19,2,2020,8450,1,37206,1,2,2
17103,20200226,0.773140356,122.3573184,-0.77238905,53.875,1.0179167,26.875,56.041668,54.625,37.333332,19.916666,1,1,0,26,2,2020,8457,1,37206,1,3,3
17486,20200101,0.879364872,78.44776198,-12.692924,118.041664,1.5208334,45.416668,24.5,104.708336,76.75,24.541666,1,0,0,1,1,2020,8401,1,15842,1,-5,-4
17493,20200108,5.191233618,140.8606207,-8.20078,88.333336,0.885,26.583334,67.166664,113.458336,98.708336,23.208334,1,0,0,8,1,2020,8408,1,15842,1,-4,-4
17500,20200115,1.457217739,71.02727379,-11.986317,144,1.355,51.625,28.333334,137.375,107.541664,24.208334,1,0,0,15,1,2020,8415,1,15842,1,-3,-3
17507,20200122,2.615134958,160.2101667,-5.4111414,149.73685,0.99368423,31.789474,64.789474,80.42105,56.94737,26.68421,1,0,0,22,1,2020,8422,1,15842,1,-2,-2
17514,20200129,0.968941677,69.73636689,-6.511239,183.375,1.3466667,24.458334,105.541664,167.75,148.5,26.458334,1,0,0,29,1,2020,8429,1,15842,1,-1,-1
17521,20200205,1.470532419,41.80363796,-15.230849,46.375,0.54,11.166667,49.625,41.916668,23.916666,11.833333,1,1,0,5,2,2020,8436,1,15842,1,0,0
17528,20200212,1.139622191,73.11759156,4.876125,55.833332,0.7841667,18.041666,104.958336,71.416664,56.583332,22.875,1,1,0,12,2,2020,8443,1,15842,1,1,1
17535,20200219,0.848104781,48.397825,-5.086984,105,1.4816667,41.083332,45.625,93.666664,72.708336,25.208334,1,1,0,19,2,2020,8450,1,15842,1,2,2
17542,20200226,0.407399291,135.0377464,-1.7181621,42.375,0.44666666,10.875,73.666664,30.375,25.166666,10.958333,1,1,0,26,2,2020,8457,1,15842,1,3,3
17925,20200101,0.012800058,82.29534591,-10.809303,108.916664,1.9004166,45,15.125,74.541664,51.166668,31.916666,1,0,0,1,1,2020,8401,1,3547,1,-5,-4
17932,20200108,3.021479178,131.6807284,-8.193701,96.708336,1.1525,31.791666,59.833332,117.416664,103.708336,22.875,1,0,0,8,1,2020,8408,1,3547,1,-4,-4
17939,20200115,0.024493212,75.50424791,-10.456834,146.70833,2.1933334,60.958332,15,147.20833,96.541664,30.416666,1,0,0,15,1,2020,8415,1,3547,1,-3,-3
17946,20200122,0.027321871,154.9369847,-4.008355,76.789474,1.2089474,33.57895,54.42105,56.94737,38.42105,25.052631,1,0,0,22,1,2020,8422,1,3547,1,-2,-2
17953,20200129,0.013969182,73.32560113,-6.3750043,179.91667,1.6004167,30.75,87.375,155.04167,138,26.75,1,0,0,29,1,2020,8429,1,3547,1,-1,-1
17960,20200205,0.022314197,47.84141953,-15.388983,39.375,0.5408333,12.416667,44.666668,33.916668,15.041667,14.541667,1,1,0,5,2,2020,8436,1,3547,1,0,0
17967,20200212,0.017119851,87.88336449,5.6403036,49.25,1.0066667,24.25,94.625,66.583336,52.416668,22.583334,1,1,0,12,2,2020,8443,1,3547,1,1,1
17974,20200219,0.012028005,52.35198915,-5.9844346,73.791664,1.7195834,51.333332,30.75,72.375,50.666668,28.708334,1,1,0,19,2,2020,8450,1,3547,1,2,2
17981,20200226,0.006715422,138.38619,-1.1500882,47,0.66833335,21.416666,65.125,38.666668,30,16.125,1,1,0,26,2,2020,8457,1,3547,1,3,3
18364,20200101,0.064979849,117.9630555,-7.4473004,70.458336,1.0308334,29.208334,31.708334,57.541668,37.958332,25.75,1,0,0,1,1,2020,8401,1,32077,1,-5,-4
18371,20200108,0.150753267,138.2462796,-1.1984979,90.208336,0.9604167,22.375,62.083332,71.333336,59.291668,17.75,1,0,0,8,1,2020,8408,1,32077,1,-4,-4
18378,20200115,0.150698675,111.631172,-5.920144,85.458336,1.2595834,36.166668,39.208332,67.416664,50.333332,28.208334,1,0,0,15,1,2020,8415,1,32077,1,-3,-3
18385,20200122,0.101168627,150.7276569,-3.261513,64.10526,0.98105264,29.947369,55.473682,57.263157,38.736843,22.368422,1,0,0,22,1,2020,8422,1,32077,1,-2,-2
18392,20200129,0.069572178,106.4192838,2.0252228,127.416664,1.5129167,25.875,71.625,91.125,69.875,30.833334,1,0,0,29,1,2020,8429,1,32077,1,-1,-1
18399,20200205,0.117880968,101.5690967,-9.443892,34,0.53291667,7.7083335,61.166668,35.375,14.5,15.666667,1,1,0,5,2,2020,8436,1,32077,1,0,0
18406,20200212,0.092768738,107.2391355,4.493804,121.333336,1.2933333,22.583334,75.583336,113,89.541664,23.166666,1,1,0,12,2,2020,8443,1,32077,1,1,1
18413,20200219,0.059122591,20.41614178,-3.2355244,86.208336,1.21875,29.541666,59,62.791668,51.916668,34.833332,1,1,0,19,2,2020,8450,1,32077,1,2,2
18420,20200226,0.038982711,148.5527809,4.509619,32.208332,0.74916667,15,75.125,36.958332,21.041666,17.5,1,1,0,26,2,2020,8457,1,32077,1,3,3
18803,20200101,0.007983781,92.30808892,-7.511532,95.291664,1.3833333,45.791668,28.875,97.416664,64,55.375,1,0,0,1,1,2020,8401,1,75399,1,-5,-4
18810,20200108,0.018514272,20.04817935,-4.9104013,52.791668,0.5516667,18.625,73.166664,34.458332,21.875,25,1,0,0,8,1,2020,8408,1,75399,1,-4,-4
18817,20200115,0.020600924,93.4213061,-8.1071005,156.375,1.4341667,50.791668,24.458334,123.416664,92.666664,48.125,1,0,0,15,1,2020,8415,1,75399,1,-3,-3
18824,20200122,0.013524386,117.9938282,-0.76257396,102.63158,1.2673684,39.94737,35.157894,91.8421,59.526318,43.57895,1,0,0,22,1,2020,8422,1,75399,1,-2,-2
18831,20200129,0.008585998,79.77419873,-1.9609947,52.958332,0.80916667,15.875,79.541664,75.083336,52.166668,33.25,1,0,0,29,1,2020,8429,1,75399,1,-1,-1
18838,20200205,0.016674335,89.34379553,-10.457572,34.958332,0.53416663,6.5,63.666668,33.041668,11.5,21,1,1,0,5,2,2020,8436,1,75399,1,0,0
18845,20200212,0.011179483,77.8118748,3.3539028,101.416664,1.1583333,30,67.958336,98.083336,91.166664,35.458332,1,1,0,12,2,2020,8443,1,75399,1,1,1
18852,20200219,0.006812576,61.57470133,1.7841728,82.333336,1.1391667,35.25,47.416668,70.75,57.166668,37.541668,1,1,0,19,2,2020,8450,1,75399,1,2,2
18859,20200226,0.00605472,99.35242364,1.1410257,43.958332,0.53833336,13.125,71.375,41.375,21.125,19.625,1,1,0,26,2,2020,8457,1,75399,1,3,3
19242,20200101,1.58885471,95.59370892,-11.206924,87.875,1.2683333,34.875,36.708332,97.041664,64.916664,46.458332,1,0,0,1,1,2020,8401,1,41887,1,-5,-4
19249,20200108,3.660802063,71.8481039,-7.775792,38.625,0.38583332,10,74.291664,24.916666,18,14.416667,1,0,0,8,1,2020,8408,1,41887,1,-4,-4
19256,20200115,3.321253828,98.11153785,-11.191039,156.5,1.3916667,41.291668,32.125,108.458336,82.875,59.208332,1,0,0,15,1,2020,8415,1,41887,1,-3,-3
19263,20200122,2.330565861,130.5634404,-4.4567485,61.263157,0.80421054,25.210526,51.789474,83,41.05263,28,1,0,0,22,1,2020,8422,1,41887,1,-2,-2
19270,20200129,1.741807067,90.44135435,-5.539524,50.75,0.63,8.041667,88,67.75,46.666668,26.5,1,0,0,29,1,2020,8429,1,41887,1,-1,-1
19277,20200205,2.997237659,84.99762751,-13.629216,32.416668,0.3925,2.5833333,63.083332,22.583334,10.291667,10.291667,1,1,0,5,2,2020,8436,1,41887,1,0,0
19284,20200212,2.134353016,71.51520786,3.7696095,109.375,0.8933333,17.875,83.833336,99.958336,92.5,16.333334,1,1,0,12,2,2020,8443,1,41887,1,1,1
19291,20200219,1.43887359,61.45694253,-2.3199134,54.125,0.56416667,17.958334,59.75,42.041668,32.083332,22.291666,1,1,0,19,2,2020,8450,1,41887,1,2,2
19298,20200226,0.995562774,97.49173903,-1.382531,44.5,0.36666667,6.7083335,73,33.25,18.833334,13.583333,1,1,0,26,2,2020,8457,1,41887,1,3,3
19681,20200101,1.022836228,81.29988648,-11.21233,167.95833,2.0566666,45.458332,13.833333,97.833336,67.333336,29.833334,1,0,0,1,1,2020,8401,1,59283,1,-5,-4
19688,20200108,4.402702753,107.8489596,-7.609934,67.583336,0.81333333,26.75,56.916668,85.958336,76.625,14.458333,1,0,0,8,1,2020,8408,1,59283,1,-4,-4
19695,20200115,2.104135218,74.81089677,-10.783272,181.08333,1.9816667,62.583332,21.333334,174.875,146.375,26.125,1,0,0,15,1,2020,8415,1,59283,1,-3,-3
19702,20200122,2.130608605,145.9366903,-4.3298244,164,0.9168421,22.473684,74.8421,72.68421,61.473682,9.894737,1,0,0,22,1,2020,8422,1,59283,1,-2,-2
19709,20200129,1.112517544,72.53363145,-5.7550807,144.66667,1.5466666,29.916666,90.208336,159.125,146.375,18.208334,1,0,0,29,1,2020,8429,1,59283,1,-1,-1
19716,20200205,1.845267723,47.88358371,-14.209408,36.541668,0.6175,7.3333335,56.208332,32.75,16.916666,5.4583335,1,1,0,5,2,2020,8436,1,59283,1,0,0
19723,20200212,1.385786045,82.10611119,4.712801,47.958332,0.65375,8.541667,107.833336,55.333332,49.25,6.2083335,1,1,0,12,2,2020,8443,1,59283,1,1,1
19730,20200219,0.94331495,51.05475305,-4.24752,88.041664,1.4016666,35.791668,47.25,57.625,49.083332,22.291666,1,1,0,19,2,2020,8450,1,59283,1,2,2
